begin,Open,Close,High,Low,value,Volume,end
2023-01-03,141.6,141.78,143.25,141.56,3000247965.4,21098550,2023-01-03 23:59:59
2023-01-04,141.85,141.43,142.28,140.75,2419428972.3,17112740,2023-01-04 23:59:59
2023-01-05,141.6,141.27,141.84,140.54,2435171391.9,17245300,2023-01-05 23:59:59
2023-01-06,141.39,141.4,141.62,140.9,1504730792.2,10657600,2023-01-06 23:59:59
2023-01-09,141.83,142.4,142.99,141.65,4480148303.4,31449160,2023-01-09 23:59:59
2023-01-10,142.1,142.81,142.85,141.31,3368938055.0,23718180,2023-01-10 23:59:59
2023-01-11,142.97,149.96,149.98,142.87,18097145617.6,123147040,2023-01-11 23:59:59
2023-01-12,150.02,149.3,150.79,148.39,6982668294.2,46789300,2023-01-12 23:59:59
2023-01-13,149.58,151.69,153.28,147.71,13374657598.8,88520210,2023-01-13 23:59:59
2023-01-16,152.89,153.71,154.0,151.88,7920014161.8,51753920,2023-01-16 23:59:59
2023-01-17,154.0,150.45,154.31,150.01,12790444010.5,84404770,2023-01-17 23:59:59
2023-01-18,150.4,151.47,153.0,149.41,10235015056.8,67511970,2023-01-18 23:59:59
2023-01-19,151.2,149.34,152.85,148.56,10027708961.8,66813960,2023-01-19 23:59:59
2023-01-20,149.7,151.38,151.4,148.64,6633881321.1,44254820,2023-01-20 23:59:59
2023-01-23,151.9,153.5,154.1,151.01,8453400896.7,55198870,2023-01-23 23:59:59
2023-01-24,153.95,152.66,155.58,152.28,12126204920.9,78734130,2023-01-24 23:59:59
2023-01-25,152.45,152.81,153.6,151.5,6613609683.1,43376700,2023-01-25 23:59:59
2023-01-26,153.32,152.4,154.3,151.73,6966980467.7,45513320,2023-01-26 23:59:59
2023-01-27,152.4,153.2,153.48,151.69,5213964676.6,34123690,2023-01-27 23:59:59
2023-01-30,153.5,153.38,153.88,152.21,4760702156.6,31105220,2023-01-30 23:59:59
2023-01-31,153.51,158.07,158.18,153.3,12127748512.5,77890320,2023-01-31 23:59:59
2023-02-01,158.2,158.29,159.6,156.5,10480709146.9,66332200,2023-02-01 23:59:59
2023-02-02,158.4,159.45,160.29,157.37,8572049477.0,53866380,2023-02-02 23:59:59
2023-02-03,159.1,161.26,162.32,157.88,10193999216.9,63735330,2023-02-03 23:59:59
2023-02-06,161.78,167.09,167.17,161.01,14666403495.3,89083530,2023-02-06 23:59:59
2023-02-07,167.3,165.39,168.7,163.4,15345906260.6,92661570,2023-02-07 23:59:59
2023-02-08,165.0,164.15,166.35,162.7,9652989000.6,58669030,2023-02-08 23:59:59
